T..Majority.protein.IDs	DomA_c_1_mean	DomA_c_2_mean	DomA_c_3_mean	DomB_c_1_mean	DomB_c_2_mean	DomB_c_3_mean	CTRL_c_1_mean	CTRL_c_2_mean	CTRL_c_3_mean
A0A0B4JCZ0	30.0734	28.10453333	30.76833333	29.1963	30.22373333	30.02596667	29.43886667	30.00126667	29.963
A0A0B4JD97	26.56143333	29.04703333	27.66783333	28.51773333	27.79053333	28.54363333	29.0361	28.72006667	28.84283333
A0A0B4JDG4	26.90076667	27.31623333	26.8843	27.35533333	26.86503333	26.89023333	26.06746667	26.48926667	27.08516667
A0A0B4K5Z8	27.833	26.3515	27.51596667	25.59286667	27.02676667	28.25626667	28.23453333	27.5466	25.51273333
A0A0B4K651	26.55866667	26.90196667	26.92103333	26.23966667	24.35506667	27.28713333	26.5249	26.0767	24.6337
A0A0B4K6E6	26.30556667	25.1099	26.1481	25.3272	25.9623	25.75496667	24.4451	25.21623333	24.41666667
A0A0B4K6F9	23.7378	24.42116667	28.7723	23.05136667	24.2822	24.95796667	25.4957	26.397	26.20296667
A0A0B4K6G3	31.4448	32.05893333	29.43053333	36.39803333	35.2159	34.8164	28.6877	28.94996667	28.56236667
A0A0B4K6N4	26.8328	26.4955	26.11033333	26.36903333	26.30166667	26.8461	26.938	26.8006	26.7925
A0A0B4K6S5	23.82953333	23.84026667	24.40333333	23.6215	23.68276667	25.13616667	23.73226667	24.13413333	23.9655
A0A0B4K6W9	25.40253333	26.02093333	25.77853333	26.12686667	25.40753333	26.29603333	26.03053333	26.69336667	26.40933333
A0A0B4K753	26.0448	26.88136667	26.6351	26.29053333	23.6429	28.12246667	26.86706667	26.8319	26.01986667
A0A0B4K765	31.2916	31.32233333	30.7187	31.1049	30.5259	31.08363333	30.85636667	31.08583333	30.82433333
A0A0B4K774	24.5291	25.8092	24.38843333	25.42803333	23.6818	26.20706667	25.86006667	25.3883	23.9954
A0A0B4K7J2	33.1782	32.868	32.85833333	32.922	33.1327	33.21296667	32.86313333	33.13956667	33.04393333
A0A0B4K7J3	28.81423333	28.21383333	28.38823333	27.8623	27.67306667	28.95986667	28.1764	27.6124	26.7738
A0A0B4K7Q6	30.58433333	31.44726667	31.67756667	31.58126667	31.61673333	31.3112	31.94106667	31.14053333	31.4857
A0A0B4K7S6	28.63896667	27.58436667	29.3973	26.79443333	26.812	26.90706667	26.17943333	26.78533333	26.57093333
A0A0B4K7Y4	28.8932	28.44186667	28.4421	28.77283333	28.7656	28.477	27.64026667	27.47336667	28.22323333
A0A0B4K823	32.67483333	31.54333333	31.22093333	31.44176667	28.87286667	32.48576667	31.50763333	30.9455	29.678
A0A0B4K859	30.8463	30.9733	31.0334	31.1436	31.12083333	30.89046667	31.0785	31.1965	31.1671
A0A0B4K897	27.4855	27.59863333	27.6637	27.07863333	27.42233333	27.9634	27.95173333	27.49533333	27.37136667
A0A0B4KEE4	32.00683333	31.8872	31.386	31.93406667	31.57356667	31.69476667	32.03423333	32.08226667	31.86586667
A0A0B4KEE7	30.50066667	31.0615	30.99313333	30.8013	32.0568	32.46456667	32.77073333	32.20746667	31.9817
A0A0B4KEJ7	28.92536667	27.95303333	28.31586667	27.55526667	28.47626667	28.8325	29.23293333	28.48553333	27.65136667
A0A0B4KEN4	27.49446667	26.6866	27.03056667	26.26803333	25.0076	27.61943333	26.83553333	26.61263333	25.59536667
A0A0B4KER0	31.26806667	30.78436667	30.96836667	31.08633333	31.11546667	31.4107	30.88693333	30.90253333	30.52423333
A0A0B4KEW2	25.5138	25.34163333	25.2178	25.13386667	25.4993	25.01606667	25.0726	25.1791	25.22626667
A0A0B4KF06	27.58973333	26.90866667	27.0197	26.52466667	26.22356667	27.961	27.26246667	26.96636667	26.03403333
A0A0B4KF19	23.91426667	23.84363333	25.12753333	24.9279	25.1751	24.8774	24.44343333	24.1178	23.9234
A0A0B4KF25	30.9941	31.45563333	30.22676667	31.1665	29.8482	30.48166667	30.5834	30.73563333	30.80453333
A0A0B4KF65	24.013	23.85046667	24.8335	23.96713333	25.4115	24.9624	25.31536667	25.6539	25.60263333
A0A0B4KF69	25.4503	25.51713333	26.55346667	24.5101	25.78103333	26.09436667	26.102	26.26383333	26.40963333
A0A0B4KF86	26.95593333	26.57606667	26.9554	26.49736667	26.2988	26.86426667	26.6887	26.85193333	25.90703333
A0A0B4KFA6	28.30463333	28.21913333	27.8731	28.00616667	27.91376667	28.5511	28.1258	28.05806667	28.03673333
A0A0B4KFC0	25.53913333	25.8584	25.38853333	25.50483333	25.39336667	25.93236667	25.78803333	25.8107	25.94156667
A0A0B4KFD1	30.78473333	30.34416667	30.1908	30.1907	30.6198	30.45623333	29.83293333	27.90683333	25.94876667
A0A0B4KFE4	31.32106667	31.06316667	31.0135	30.75756667	30.62096667	31.15856667	30.73323333	30.7971	30.86476667
A0A0B4KFL3	23.85203333	25.36183333	24.99523333	25.64703333	25.2567	25.463	25.0732	24.76396667	24.83793333
A0A0B4KFP2	34.968	35.55863333	35.51633333	30.24	29.82946667	29.43086667	29.6726	29.6316	29.7839
A0A0B4KFP5	27.6627	28.05343333	27.72423333	27.53716667	27.63896667	28.33943333	28.0202	27.9385	27.67553333
A0A0B4KFR5	26.07883333	26.12853333	25.858	25.59856667	26.66973333	26.2001	26.2788	26.24306667	26.02183333
A0A0B4KFT9	33.81136667	33.81933333	33.82726667	33.83446667	34.56873333	32.9749	33.55203333	34.13743333	33.84906667
A0A0B4KFV4	26.20146667	26.93183333	25.90843333	26.70663333	25.98876667	26.3647	26.62653333	26.67346667	26.92353333
A0A0B4KG11	26.62043333	26.19656667	24.1927	25.91983333	26.01506667	26.7518	26.10796667	25.6758	25.67016667
A0A0B4KG59	28.84233333	28.8216	27.62906667	28.45333333	25.71246667	29.12613333	28.3755	27.7637	26.5598
A0A0B4KG66	24.5689	25.68703333	24.32646667	25.16696667	24.30756667	25.3615	24.5355	25.20283333	24.7906
A0A0B4KG69	26.96183333	26.831	27.25106667	26.2933	27.11353333	25.71436667	26.10233333	26.45773333	26.21616667
A0A0B4KG70	27.10173333	27.3906	26.9613	27.09426667	26.81736667	27.33233333	27.3457	27.2942	27.31136667
